il_kod,ilce,lat,lon
22,SÜLOĞLU(SÜLEOĞLU),41.76666670,26.91666670
22,UZUNKÖPRÜ,41.27125900,26.69972000
23,AĞIN,38.94222220,38.71555560
23,ALACAKAYA,38.45324400,39.85127620
23,ARICAK,38.56666670,40.13333330
23,BASKİL,38.56972220,38.82305560
23,ELAZIĞ,38.68096900,39.22639800
23,KARAKOÇAN,38.95836650,40.03481000
23,KEBAN,38.79392960,38.74193670
23,KOVANCILAR,38.71666670,39.86666670
23,MADEN,38.38972220,39.66861110
23,PALU,38.70547280,39.95252860
23,SİVRİCE,38.44666670,39.31166670
24,ÇAYIRLI,39.80500000,40.04111110
24,ERZİNCAN,39.75000000,39.50000000
24,ILIÇ(İLİÇ),39.45805630,38.56473620
24,KEMAH,39.60277780,39.03555560
24,KEMALİYE,39.26083330,38.49666670
24,OTLUKBELİ,39.97396550,40.02241650
24,REFAHİYE,39.90164870,38.76831420
24,TERCAN,39.77945590,40.38508450
24,ÜZÜMLÜ,39.71000000,39.70166670
25,AŞKALE,39.92025000,40.69236110
25,AZİZİYE(ILICA),39.94583330,41.10527780
25,ÇAT,39.61111110,40.97888890
25,HINIS,39.35667060,41.70294900
25,HORASAN,40.03852100,42.16235000
25,İSPİR,40.48361110,40.99527780
25,KARAÇOBAN,39.35083330,42.11194440
25,KARAYAZI,39.70106060,42.14378900
25,KÖPRÜKÖY,39.97555560,41.87111110
25,NARMAN,40.34505800,41.86719900
25,OLTU,40.54555560,41.99555560
25,OLUR,40.83333330,42.13333330
25,PALANDÖKEN,39.90431890,41.26788530
25,PASİNLER,39.97972220,41.67555560
25,PAZARYOLU,40.41590900,40.76882900
25,ŞENKAYA,40.56666670,42.35000000
25,TEKMAN,39.64500000,41.50833330
25,TORTUM,40.29920110,41.54785080
25,UZUNDERE,40.53638890,41.54833330
25,YAKUTİYE,39.90431890,41.26788530
26,ALPU,39.76055560,30.95805560
26,BEYLİKOVA,39.68694440,31.20555560
26,ÇİFTELER,39.38305560,31.03916670
26,GÜNYÜZÜ,39.38388890,31.81000000
26,HAN,39.15916670,30.86138890
26,İNÖNÜ,39.82122990,30.14449600
26,MAHMUDİYE,39.49732700,30.98891300
26,MİHALGAZİ,40.02638890,30.57777780
26,MİHALIÇÇIK,39.86416670,31.49527780
26,ODUNPAZARI,39.78430200,30.51922000
26,SARICAKAYA,40.04034440,30.61711300
26,SEYİTGAZİ,39.44472220,30.69472220
26,SİVRİHİSAR,39.45000000,31.53777780
26,TEPEBAŞI,39.78430200,30.51922000
27,ARABAN,37.42650420,37.68920620
27,İSLAHİYE,37.02500000,36.63450000
27,KARKAMIŞ,36.83400000,38.00100000
27,NİZİP,37.01666670,37.80000000
27,NURDAĞI,37.17917190,36.73615390
27,OĞUZELİ,36.96574240,37.51347500
27,ŞAHİNBEY,37.06622000,37.38332000
27,ŞEHİTKAMİL,37.06622000,37.38332000
27,YAVUZELİ,37.32017460,37.56677350
28,ALUCRA,40.31666670,38.76666670
28,BULANCAK,40.93520340,38.21259260
28,ÇAMOLUK,40.13333300,38.75000000
28,ÇANAKÇI,40.91301840,39.00433450
28,DERELİ,40.74009460,38.44811740
28,DOĞANKENT,40.80000000,38.91666670
28,ESPİYE,40.94835870,38.70822590
28,EYNESİL,41.06028830,39.14353650
